Q1,What is your age?
Q2,What is your gender?
1,Male
2,Female
3,Other
Q3,What is the highest educational qualification you possess?
1,GCSEs/O-levels
2,A-levels
3,Undergraduate degree
4,Masters degree
5,Doctoral degree
6,Other
Q4,Are you in a position with managerial responsibilities?
1,Yes
2,No
3,Other
Q5,"If you answered yes to question 4, for how many people are you directly responsible for managing?"
1,0-5
2,06-Oct
3,Nov-20
4,21-40
5,41-80
6,81+
7,Other
Q6,For how long have you been a civil servant?
1,0-6 months
2,7-12 months
3,1-2 years
4,3-4 years
5,5-10 years
6,11-20 years
7,21-30 years
8,31+ years
9,Other
Q7,Are you a member of the senior civil service?
1,Yes
2,No
3,Other
Q8,"If you have answered no to question 7, what is your pay grade?"
1,Grade 6
2,Grade 7
3,Other
Q9,Have you ever been employed full time in the private sector?
1,Yes
2,No
3,Other
Q10,"If you answered yes to question 9, for how long were you employed full-time in the private sector?"
1,0-6 months
2,7-12 months
3,1-2 years
4,3-4 years
5,5-10 years
6,11-20 years
7,21-30 years
8,31+ years
9,Other
Q11,"Do you presently work within a government department, or for a non- departmental body?"
1,Work as a civil servant within a government department
2,Work as a civil servant within a non-departmental body
3,Other
Q12,Please indicate to what extent you agree or disagree with each of the following statements
Q12_a,"I am clear about my personal values (i.e. my convictions of what is right and wrong, of what is important, and so on)."
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_b,My personal convictions are generally compatible with the values of my organisation.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_c,My organisation seems to be guided by high standards of morality
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_d,I find that sometimes I must compromise personal convictions to conform to my organisation's expectations.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_e,I am confident that I understand the values of my superiors with whom I work closely.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_f,I am confident that I understand the values of my co-workers (i.e. colleagues at my level) with whom I work closely.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_g,I am confident that I understand my subordinates' values
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_h,I am confident I understand my organisation's values.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_i,My superiors seem to be less concerned about ethics than I am.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_j,My co-workers seem to be less concerned about ethics and morality than I am.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_k,My subordinates seem to be less concerned about ethics and morality than I am.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_l,I would I resign if my manager insisted that I carry out some action that I strongly felt was wrong.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q12_m,I would tell people outside my organisation if my manager insisted that I carry out some action that I felt strongly was wrong.
1,strongly agree
2,agree
3,agree with some reservations
4,neither agree nor disagree
5,disagree with some reservations
6,disagree
7,strongly disagree
8,Other
Q13,"An ethical dilemma is a situation in which you are confronted with the need to choose from two or more conflicting courses of action. Each of these options is compelling because it upholds some important moral principles and conforms with some of your deepest convictions regarding what is right and wrong. Listed below are some typical ethical dilemmas, please indicate how frequently you experience these difficult choices in the workplace."
Q13_a,Conflict between loyalty to your manager and loyalty to the organisation
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_b,Conflict between loyalty to your manager and obligation to the law
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_c,Conflict between loyalty to your manager and what is in your view best for the community
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_d,Conflict between loyalty to your manager and professional standards of ethics
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_e,Conflict between loyalty to your manager and loyalty to a friend who is a colleague in the workplace
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_f,Conflict between your own well-being (i.e. what is in your best interest) and loyalty to your manager
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_g,Conflict between your own well-being and loyalty to your organisation
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_h,Conflict between your own well-being and what is in your view best for the community
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_i,Conflict between your own well-being and obligation to the law
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_j,Conflict between your own well-being and professional standards of ethics
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q13_k,Conflict between your own well-being and loyalty to a colleague who is a friend
1,Happens frequently
2,Happens occasionally
3,Happens infrequently
4,Happens very infrequently
5,Never happens
6,Other
Q14,"When you were confronted with an ethical dilemma in performing your job, whom do you usually consult?"
Q14_a,Spouse
Q14_a_1,Most important
Q14_a_2,Second most important
Q14_a_3,Other
Q14_a_Other,Other
Q14_b,Co-workers (other people at my level)
Q14_b_1,Most important
Q14_b_2,Second most important
Q14_b_3,Other
Q14_b_Other,Other
Q14_c,Family member(s)
Q14_c_1,Most important
Q14_c_2,Second most important
Q14_c_3,Other
Q14_c_Other,Other
Q14_d,No one (I work it out myself)
Q14_d_1,Most important
Q14_d_2,Second most important
Q14_d_3,Other
Q14_d_Other,Other
Q14_e,Friend(s) at work
Q14_e_1,Most important
Q14_e_2,Second most important
Q14_e_3,Other
Q14_e_Other,Other
Q14_f,Friend(s) outside the organisation
Q14_f_1,Most important
Q14_f_2,Second most important
Q14_f_3,Other
Q14_f_Other,Other
Q14_g,Superior(s)
Q14_g_1,Most important
Q14_g_2,Second most important
Q14_g_3,Other
Q14_g_Other,Other
Q14_h,Member(s) of my professional group
Q14_h_1,Most important
Q14_h_2,Second most important
Q14_h_3,Other
Q14_h_Other,Other
Q14_i,Legal professionals
Q14_i_1,Most important
Q14_i_2,Second most important
Q14_i_3,Other
Q14_i_Other,Other
Q14_j,Member(s) of my religious group
